id,numero,voie,cp,ville,source,y,x
751010063U-1,1,Rue Adolphe Jullien,75001,Paris,C+O,48.862433,2.342365
751010063U-2,2,Rue Adolphe Jullien,75001,Paris,C+O,48.863128,2.342182
751010191H-10,10,Rue d'Alger,75001,Paris,OSM,48.865297,2.329851
751010191H-11,11,Rue d'Alger,75001,Paris,OSM,48.865571,2.329904
751010191H-1,1,Rue d'Alger,75001,Paris,OSM,48.864947,2.329438
751010191H-12,12,Rue d'Alger,75001,Paris,OSM,48.865418,2.329941
751010191H-13,13,Rue d'Alger,75001,Paris,OSM,48.865718,2.330012
751010191H-14,14,Rue d'Alger,75001,Paris,OSM,48.865546,2.330037
751010191H-16,16,Rue d'Alger,75001,Paris,OSM,48.865664,2.330124
751010191H-2,2,Rue d'Alger,75001,Paris,OSM,48.864777,2.329465
751010191H-3,3,Rue d'Alger,75001,Paris,OSM,48.865051,2.329516
751010191H-4,4,Rue d'Alger,75001,Paris,OSM,48.864867,2.329532
751010191H-5,5,Rue d'Alger,75001,Paris,OSM,48.865209,2.329633
751010191H-6,6,Rue d'Alger,75001,Paris,OSM,48.865006,2.329634
751010191H-8,8,Rue d'Alger,75001,Paris,OSM,48.865154,2.329744
751010191H-9,9,Rue d'Alger,75001,Paris,OSM,48.865435,2.329803
751010284J-1,1,Rue de l'Amiral de Coligny,75001,Paris,C+O,48.860132,2.339629
751010284J-1A,1A,Rue de l'Amiral de Coligny,75001,Paris,C+O,48.860196,2.339282
751010284J-2,2,Rue de l'Amiral de Coligny,75001,Paris,OSM,48.859241,2.340189
751010284J-6,6,Rue de l'Amiral de Coligny,75001,Paris,C+O,48.860328,2.341136
751010284J-8,8,Rue de l'Amiral de Coligny,75001,Paris,C+O,48.860673,2.340931
751010330J-1,1,Place André Malraux,75001,Paris,OSM,48.863766,2.334702
751010330J-2,2,Place André Malraux,75001,Paris,OSM,48.863962,2.335736
751010330J-3,3,Place André Malraux,75001,Paris,OSM,48.863851,2.334808
751010330J-4,4,Place André Malraux,75001,Paris,OSM,48.864021,2.335481
751010330J-5,5,Place André Malraux,75001,Paris,OSM,48.863933,2.334907
751010407T-15,15,Rue de l'Arbre Sec,75001,Paris,OSM,48.859681,2.341896
751010407T-17,17,Rue de l'Arbre Sec,75001,Paris,OSM,48.859762,2.341982
751010407T-17B,17B,Rue de l'Arbre Sec,75001,Paris,OSM,48.859836,2.342013
751010407T-19,19,Rue de l'Arbre Sec,75001,Paris,OSM,48.859902,2.342041
751010407T-21,21,Rue de l'Arbre Sec,75001,Paris,OSM,48.860066,2.342111
751010407T-22,22,Rue de l'Arbre Sec,75001,Paris,OSM,48.859761,2.342153
751010407T-2,2,Rue de l'Arbre Sec,75001,Paris,OSM,48.859330,2.341972
751010407T-24,24,Rue de l'Arbre Sec,75001,Paris,OSM,48.859929,2.342173
751010407T-25,25,Rue de l'Arbre Sec,75001,Paris,OSM,48.860233,2.342182
751010407T-26,26,Rue de l'Arbre Sec,75001,Paris,OSM,48.859972,2.342193
751010407T-27,27,Rue de l'Arbre Sec,75001,Paris,OSM,48.860267,2.342197
751010407T-28,28,Rue de l'Arbre Sec,75001,Paris,OSM,48.860014,2.342215
751010407T-29,29,Rue de l'Arbre Sec,75001,Paris,OSM,48.860325,2.342171
751010407T-30,30,Rue de l'Arbre Sec,75001,Paris,OSM,48.860052,2.342235
751010407T-32,32,Rue de l'Arbre Sec,75001,Paris,OSM,48.860093,2.342256
751010407T-33,33,Rue de l'Arbre Sec,75001,Paris,OSM,48.860626,2.342313
751010407T-34,34,Rue de l'Arbre Sec,75001,Paris,OSM,48.860125,2.342273
751010407T-35,35,Rue de l'Arbre Sec,75001,Paris,OSM,48.860789,2.342389
751010407T-36,36,Rue de l'Arbre Sec,75001,Paris,OSM,48.860199,2.342338
751010407T-37,37,Rue de l'Arbre Sec,75001,Paris,OSM,48.860859,2.342398
751010407T-39,39,Rue de l'Arbre Sec,75001,Paris,OSM,48.860988,2.342411
751010407T-41,41,Rue de l'Arbre Sec,75001,Paris,OSM,48.861036,2.342417
751010407T-43,43,Rue de l'Arbre Sec,75001,Paris,OSM,48.861132,2.342413
751010407T-44,44,Rue de l'Arbre Sec,75001,Paris,OSM,48.860584,2.342487
751010407T-45,45,Rue de l'Arbre Sec,75001,Paris,OSM,48.861179,2.342416
751010407T-46,46,Rue de l'Arbre Sec,75001,Paris,OSM,48.860666,2.342521
751010407T-47,47,Rue de l'Arbre Sec,75001,Paris,OSM,48.861224,2.342418
751010407T-48,48,Rue de l'Arbre Sec,75001,Paris,OSM,48.860760,2.342550
751010407T-49,49,Rue de l'Arbre Sec,75001,Paris,OSM,48.861282,2.342413
751010407T-50,50,Rue de l'Arbre Sec,75001,Paris,OSM,48.860835,2.342569
751010407T-51,51,Rue de l'Arbre Sec,75001,Paris,OSM,48.861331,2.342403
751010407T-52,52,Rue de l'Arbre Sec,75001,Paris,OSM,48.860934,2.342580
